Year,GSub,SJQ,DA_RCHG,SA_IRR,REVAP,LARCHRG,Qgw,u,PRK,S,H
1992,10,ZY,1.846,358.2886667,0,3.212,0,0.138979427,116.502,-240.4206667,-1.729901122
1992,13,ZY,4.968333333,331.728,0,27.2655,0,0.125555889,138.4939,-170.9369333,-1.361440986
1992,15,ZY,1.700333333,332.146,0,14.8555,0,0.159915372,119.494968,-199.4958653,-1.247508997
1992,17,ZY,2.2275,361.215,0,20.9145,0,0.179684562,26.12974941,-316.3982506,-1.760853838
1992,18,ZY,2.2545,360.396,0,25.477,0,0.121130919,50.67997127,-286.4935287,-2.365156073
1992,21,ZY,2.7015,402.263,0,26.8275,0,0.119070526,56.1686461,-321.9683539,-2.704013871
1992,3,ZY,1.94,318.8073333,0,63.1815,0,0.133045631,53.567375,-203.9984583,-1.533296936
1992,4,ZY,3.979,418.75075,0,5.694,0,0.127988212,154.84,-262.19575,-2.048592959
1992,5,ZY,2.635,552.1336667,0,39.055,0,0.1625366,171.8092115,-343.9044552,-2.115858552
1992,6,ZY,5.921,413.0305,0,7.6285,0,0.160806351,80.5259,-330.7971,-2.057114647
1992,8,ZY,1.831666667,318.2673333,0,23.068,0,0.149415561,85.899,-211.132,-1.413052286
1992,9,ZY,1.660666667,356.0053333,0,37.4855,0,0.082977289,52.7079,-267.4726,-3.223443465
1993,10,ZY,4.196333333,374.366,0,3.212,0,0.138979427,223.867,-151.4833333,-1.089969477
1993,13,ZY,5.675,377.6143333,0,27.2655,0,0.125555889,155.254,-200.7698333,-1.599047523
1993,15,ZY,4.359666667,378.1613333,0,14.8555,0,0.159915372,300.947,-66.71849997,-0.417211298
1993,17,ZY,4.7785,381.226,0,20.9145,0,0.179684562,335.473,-29.617,-0.164827739
1993,18,ZY,4.3405,377.35,0,25.477,0,0.121130919,322.994,-33.2195,-0.274244596
1993,21,ZY,6.5085,443.6525,0,26.8275,0,0.119070526,344.36,-78.9735,-0.663249779
1993,3,ZY,2.439333333,372.77,0,63.1815,0,0.133045631,143.3915,-168.6363333,-1.267507486
1993,4,ZY,4.539,484.69825,0,5.694,0,0.127988212,268.234,-215.30925,-1.682258441
1993,5,ZY,3.228,372.4456667,0,39.055,0,0.1625366,205.91,-130.7086667,-0.8041799
1993,6,ZY,10.8855,603.0145,0,7.6285,0,0.160806351,248.9771,-357.2944,-2.221892343
1993,8,ZY,4.195666667,432.7466667,0,23.068,0,0.149415561,270.058,-143.8163334,-0.962525807
1993,9,ZY,3.989666667,371.935,0,37.4855,0,0.082977289,294.682,-43.75716667,-0.527339073
1994,10,ZY,4.949,365.3866667,0,3.212,0,0.138979427,57.759,-309.3646667,-2.225974544
1994,13,ZY,5.395,370.5276667,0,27.2655,0,0.125555889,96.72808,-251.9290867,-2.006509521
1994,15,ZY,2.143666667,371.173,0,14.8555,0,0.159915372,140.427726,-218.0334407,-1.363430156
1994,17,ZY,3.836,340.195,0,20.9145,0,0.179684562,114.121,-208.9955,-1.163124409
1994,18,ZY,4.1205,341.3355,0,25.477,0,0.121130919,170.315,-149.664,-1.235555721
1994,21,ZY,4.394,344.009,0,26.8275,0,0.119070526,107.716,-213.8595,-1.796074202
1994,3,ZY,3.296,325.794,0,63.1815,0,0.133045631,80.0004,-185.9081,-1.397325854
1994,4,ZY,7.07925,429.6935,0,5.694,0,0.127988212,210.99,-220.08875,-1.719601724
1994,5,ZY,2.731666667,363.518,0,39.055,0,0.1625366,-18.12055468,-345.3152213,-2.124538235
